Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER
"LED_PHOENIX_SMT-6MYT0,GREEN,LT T64G-EAFB-29-N424","CR2_DIG0, CR4_DIG0, CR5_DIG0",Pref,3,6MYT0,?,LT T64G-EAFB-29-N424,?,6MYT0
"LED_PHOENIX_SMT-857HP,BLUE,LB T64G-AACB-59-Z484",CR3_DIG0,Pref,1,857HP,?,LB T64G-AACB-59-Z484,?,857HP
"LED_PHOENIX_SMT-R99GC,YELLOW,LY T64F-CADB-46-1-Z",CR1_DIG0,Pref,1,R99GC,?,LY T64F-CADB-46-1-Z,?,R99GC
"LP3982_WSON_WSON-LP3982ILDX-ADJ/NOPB,HVWYG,PSON50P250X300X80-9_DS,TI","U9_DC1, U14_DC1",Pref,2,HVWYG,"1.25V - 6.0V adj. LDO, 300mA",LP3982ILDX-ADJ/NOPB,TI,HVWYG
"MAX15102_BGA-MAX15102EWL+,32M06,BGA15C50P3X5_157X265X69N,MAXIM","U4_CG, U5_CG,U114_M0,U115_M0",Pref,4,32M06,"2A LDO, Input Range- 1.7 - 5.5V, Output Range- 0.6V - 5.2V , WLP package",MAX15102EWL+,MAXIM,32M06
"MAX4784EUE_VARIANT_TSSOP-MAX4784EUE+,H1Y0K,SOP65P640X120-16N,MAXIM","U11_DIG0, U12_DIG0",Pref,2,H1Y0K,"Low Voltage, Quad 2:1 Analog Multiplexer",MAX4784EUE+,MAXIM,H1Y0K
"MT25QU01GBBB_BGA-MT25QU01GBBB8E12-0AUT,KR3Y3,BGA24C100P5X5_800X600X120_DS,MICRON","U2_F0_DIG0, U2_F1_DIG0",Pref,2,KR3Y3,NOR Flash 128MB,MT25QU01GBBB8E12-0AUT,MICRON,KR3Y3
NPN_SOT23-JXTFM,Q1_DC1,Pref,1,JXTFM,?,?,?,JXTFM
"PCA6408A_QFN-PCA6408ABSHP,G47NX,QFN50P300X300X100-17N,NXP",U12_F0_DIG0,Pref,1,G47NX,8-bit I2C-bus I/O expander,PCA6408ABSHP,NXP,G47NX
"R3200L052B_E2_DFN-R3200L052B-E2,JXKFN,PSON40P160X120X40-9N,RICOH ELECTRONIC",U8_DIG0,Pref,1,JXKFN,IC SUPERVISOR 1 CHANNEL 8DFN,R3200L052B-E2,RICOH ELECTRONIC,JXKFN
"R3200L064A_E2_DFN-R3200L064A-E2,0JTJ6,PSON40P160X120X40-9N,RICOH ELECTRONIC",U9_DIG0,Pref,1,0JTJ6,"IC SUPERVISOR 1 CHANNEL 8DFN, 3 second delay",R3200L064A-E2,RICOH ELECTRONIC,0JTJ6
"RES_0201-100K,0.5%,1/20W,08JWD","R15_DC1, R58_DC1",Pref,2,08JWD,?,?,?,08JWD
"RES_0201-100K,1%,1/20W,XT7XF","R26_DC1, R60_DC1",Pref,2,XT7XF,?,?,?,XT7XF
"RES_0201-12.7K,1%,1/20W,MN6J2","R43_DC1, R61_DC1",Pref,2,MN6J2,?,?,?,MN6J2
"RES_0201-133K,1%,1/20W,K7V69",R74_DC1,Pref,1,K7V69,?,?,?,K7V69
"RES_0201-1K,1%,1/20W,RCM9X","R8_DC1, R130_DC1",Pref,2,RCM9X,?,?,?,RCM9X
"RES_0201-20K,1%,1/20W,5XY6C","R7_DC1, R14_DC1, R17_DC1, R27_DC1, R33_DC1, R35_DC1, R38_DC1, R46_DC1, R51_DC1, R53_DC1, R57_DC1, R67_DC1, R75_DC1",Pref,13,5XY6C,?,?,?,5XY6C
"RES_0201-232K,0.5%,1/20W,9F8PV","R36_DC1, R102_DC1",Pref,2,9F8PV,?,?,?,9F8PV
"RES_0201-240,1%,1/20W,Y344V","R33_F1_DIG0, R40_F0_DIG0, R66_F0_DIG0",Pref,3,Y344V,?,?,?,Y344V
"RES_0201-28.7K,1%,1/20W,0R0P8",R109_DC1,Pref,1,0R0P8,?,?,?,0R0P8
"RES_0201-4.7K,1%,1/20W,8TG2G",R113_DC1,Pref,1,8TG2G,?,?,?,8TG2G
"RES_0201-51.1K,1%,1/20W,KR0X1",R9_DC1,Pref,1,KR0X1,?,?,?,KR0X1
"RES_0201-63.4K,0.5%,1/20W,H78D5",R52_DC1,Pref,1,H78D5,?,?,?,H78D5
"RES_0402-1.0,1%,1/10W,HG8R6","R5_DC1, R18_DC1, R19_DC1, R21_DC1, R28_DC1, R30_DC1, R34_DC1, R37_DC1, R41_DC1, R63_DC1, R131_DC1, R132_DC1, R133_DC1",Pref,13,HG8R6,?,?,?,HG8R6
"RES_0402-100,1%,1/16W,X5FPX","R10_DC1, R12_DC1, R25_F1_DIG0, R26_F1_DIG0, R27_F0_DIG0, R31_CG, R32_CG, R54_DC1, R55_DC1, R56_F0_DIG0, R77_DC1, R78_DC1, R96_DC1, R97_DC1, R100_DC1, R101_DC1, R105_DC1, R107_DC1",Pref,18,X5FPX,?,?,?,X5FPX
"RES_0402-100K,0.5%,1/16W,87WWH",R108_DC1,Pref,1,87WWH,?,?,?,87WWH
"RES_0402-100K,1%,1/16W,6R533","R54_DIG0, R57_DIG0, R125_DC1, R129_DC1",Pref,4,6R533,?,?,?,6R533
