Part Name,Ref Des,Var Status,Qty,PART_NUMBER,DESCRIPTION,MFG_PN,MANUFACTURER,PRT_NUMBER
"5054484031_SMT-5054484031,C4PT9,SMT_PLUG_ULOCK_2XROW_2X20_125P_RA,MOLEX",P2_M0,Pref,1,C4PT9,"40 Circuits 1.25mm Pitch, Micro-Lock Plus PCB Header, Dual Row, Positive Lock",5054484031,MOLEX,C4PT9
"7499111221A_TH-7499111221A,XH7TW,TH_RJ45_1PORT_16PINS_3280X1660X1400,WURTH ELEKTRONIK",J1_M0,Pref,1,XH7TW,CONN JACK 1PORT 1000 BASE-T RA TH,7499111221A,WURTH ELEKTRONIK,XH7TW
"74LVC1G32GV_SOT-74LVC1G32GV,DX055,SOT95P275X110-5N,NXP","U129_M0,U130_M0",Pref,2,DX055,"IC,74LVC1G32,SOT23-5,OR",74LVC1G32GV,NXP,DX055
"87832_1420_CONN-87832-1420,KT431,SMTCONN_SHRD_200P_2X7_1665X630X760,MOLEX",J96_M0,Pref,1,KT431,"Connector Header Surface Mount 14 position 0.079"" (2.00mm)",87832-1420,MOLEX,KT431
"BC849B_SOT23-BC849B,72PJD,SOT95P237X112-3N,NEXPERIA","Q139_M0,Q140_M0",Pref,2,72PJD,TRANS SGNL NPN 45V SOT23,BC849B,NEXPERIA,72PJD
"CAP_0402-0.1UF,10%,25V,X5R,XY508",C84_M0,Pref,1,XY508,?,?,?,XY508
"CAP_0402-0.1UF,10%,50V,X7R,02DD2","C1_M0,C2_M0,C5_M0,C6_M0,C20_M0,C24_M0,C26_M0,C27_M0,C30_M0,C31_M0,C32_M0,C33_M0,C40_M0,C41_M0,C89_M0,C111_M0,C113_M0,C127_M0,C128_M0,C131_M0,C144_M0,C145_M0,C146_M0,C147_M0",Pref,24,02DD2,?,?,?,02DD2
"CAP_0402-1UF,10%,16V,X5R,WK7KJ","C8_M0,C9_M0,C12_M0,C15_M0,C18_M0,C19_M0,C22_M0,C23_M0,C25_M0,C70_M0",Pref,10,WK7KJ,?,?,?,WK7KJ
"CAP_0402-4.7UF,10%,10V,X5R,HKKDW","C29_M0,C88_M0",Pref,2,HKKDW,?,?,?,HKKDW
"CAP_0402-470PF,5%,50V,NPO,NR144",C72_M0,Pref,1,NR144,?,?,?,NR144
"CAP_0603-2.2UF,10%,16V,X5R,J6201","C104_M0,C105_M0",Pref,2,J6201,?,?,?,J6201
"CAP_0805-22UF,20%,16V,X6S,4044F",C78_M0,Pref,1,4044F,?,?,?,4044F
"CAP_PHOENIX_0201-27PF,1%,50V,C0G,M0WNG,GRM0335C1H270FA01","C46_M0,C55_M0",Pref,2,M0WNG,?,GRM0335C1H270FA01,?,M0WNG
"CAP_PHOENIX_0402-10NF,10%,25V,X7R,NM636,GRM155R71E103KA01D","C7_M0,C13_M0,C14_M0",Pref,3,NM636,?,GRM155R71E103KA01D,?,NM636
"CAP_PHOENIX_0402-10UF,20%,6.3V,X6S,VDP6K,GRM155C80J106ME11D","C4_M0,C10_M0,C11_M0",Pref,3,VDP6K,?,GRM155C80J106ME11D,?,VDP6K
"CAP_PHOENIX_0603-0.1UF,10%,10V,X7R,R5PKC,LD03ZC104KAB2A",C28_M0,Pref,1,R5PKC,?,LD03ZC104KAB2A,?,R5PKC
"CAP_PHOENIX_0603-22UF,20%,6.3V,X6S,V067F,GRM188C80J226ME15","C122_M0,C123_M0",Pref,2,V067F,?,GRM188C80J226ME15,?,V067F
"CSD87502Q2_SON-CSD87502Q2,4275V,SON65P200X200X080-8_DS,TI",U17_M0,Pref,1,4275V,30 V Dual N-Channel MOSFETs,CSD87502Q2,TI,4275V
"FERRITE_PHOENIX_0603-1YGJN,600OHM,MPZ1608S601ATA00","L134_M0,L135_M0",Pref,2,1YGJN,?,MPZ1608S601ATA00,?,1YGJN
"HOLE_PLATED-156MIL_PTH,156FH","H5_M0,H6_M0,H7_M0,H8_M0",Pref,4,156MIL_PTH,?,?,?,156MIL_PTH
